-5.100000  0.000000  88.964233  25.744209  -16.388023 
-4.900000  0.000000  116.828552  24.647537  -23.803955 
-4.700000  0.000000  147.454895  25.432419  -29.462753 
-4.500000  0.000000  173.092545  35.924500  -25.312378 
-4.300000  0.000000  223.513947  26.113495  -41.161041 
-4.100000  0.000000  262.477631  31.627045  -41.261353 
-3.900000  0.000000  297.870361  43.575928  -34.510315 
-3.700000  0.000000  345.325348  44.994019  -38.014465 
-3.500000  0.000000  387.878998  51.310272  -36.568970 
-3.300000  0.000000  420.483612  66.011414  -26.906647 
-3.100000  0.000000  472.000549  58.829651  -39.420441 
-2.900000  0.000000  519.498962  51.585144  -52.269806 
-2.700000  0.000000  546.577637  59.937073  -49.632935 
-2.500000  0.000000  572.937805  63.811768  -51.324890 
-2.300000  0.000000  600.294067  61.436646  -58.824524 
-2.100000  0.000000  617.312805  64.318481  -60.348694 
-1.900000  0.000000  641.832458  54.936462  -73.190857 
-1.700000  0.000000  653.074951  54.461182  -76.016663 
-1.500000  0.000000  652.291443  62.066895  -69.555847 
-1.300000  0.000000  655.508728  62.178040  -69.362000 
-1.100000  0.000000  653.151123  64.878052  -65.421143 
-0.900000  0.000000  652.749634  63.265015  -64.828491 
-0.700000  0.000000  647.516052  64.957825  -60.323914 
-0.500000  0.000000  637.687866  70.800415  -51.611755 
-0.300000  0.000000  649.766052  55.562012  -64.618958 
-0.100000  0.000000  642.598267  61.619446  -57.664307 
0.100000  0.000000  640.510803  63.706909  -55.576843 
0.300000  0.000000  647.693481  57.634583  -62.546387 
0.500000  0.000000  634.537720  73.950562  -48.461609 
0.700000  0.000000  641.307983  71.165955  -54.115845 
0.900000  0.000000  644.122070  71.892578  -56.200928 
1.100000  0.000000  645.974487  72.054688  -58.244507 
1.300000  0.000000  653.934570  63.752197  -67.787842 
1.500000  0.000000  656.526672  57.831604  -73.791077 
1.700000  0.000000  652.849121  54.687012  -75.790833 
1.900000  0.000000  640.414246  56.354675  -71.772644 
2.100000  0.000000  630.086121  51.545105  -73.122009 
2.300000  0.000000  607.745605  53.985107  -66.276123 
2.500000  0.000000  577.862122  58.887451  -56.249207 
2.700000  0.000000  560.939148  45.575562  -63.994446 
2.900000  0.000000  516.956177  54.127930  -49.727051 
3.100000  0.000000  480.390808  50.439392  -47.810760 
3.300000  0.000000  435.675659  50.819305  -42.098755 
3.500000  0.000000  402.111511  37.077698  -50.801544 
3.700000  0.000000  349.748199  40.571167  -42.437317 
3.900000  0.000000  305.843170  35.603058  -42.483185 
4.100000  0.000000  262.543976  31.560577  -41.327789 
4.300000  0.000000  225.120712  24.506729  -42.767807 
4.500000  0.000000  182.782562  26.234482  -35.002396 
4.700000  0.000000  147.906143  24.981094  -29.914062 
4.900000  0.000000  117.969063  23.507027  -24.944466 
5.100000  0.000000  93.337891  21.370491  -20.761726 
5.300000  0.000000  72.882820  19.400627  -16.739071 
