# #rapidity dN/dY
-8.000000000000000000e+00 1.289354813939670747e-07
-7.599999999999999645e+00 3.340323668341307423e-05
-7.200000000000000178e+00 2.170833137706261375e-03
-6.799999999999999822e+00 4.835418989716334937e-02
-6.400000000000000355e+00 4.265580307586807063e-01
-6.000000000000000000e+00 1.739542537574934267e+00
-5.599999999999999645e+00 4.055720936355267980e+00
-5.199999999999999289e+00 6.547248314975130157e+00
-4.799999999999999822e+00 9.351221166870423929e+00
-4.400000000000000355e+00 1.302316322649959801e+01
-4.000000000000000000e+00 1.770104761826260642e+01
-3.599999999999999645e+00 2.318610819507610543e+01
-3.199999999999999289e+00 2.891213149045150388e+01
-2.799999999999999822e+00 3.431485220901486599e+01
-2.399999999999999467e+00 3.919438674171242099e+01
-2.000000000000000000e+00 4.331568275609072316e+01
-1.599999999999999645e+00 4.626836186581456190e+01
-1.199999999999999289e+00 4.809933633411252885e+01
-7.999999999999998224e-01 4.912812206642524160e+01
-3.999999999999994671e-01 4.957966325139928188e+01
0.000000000000000000e+00 4.970216373651001618e+01
4.000000000000003553e-01 4.957931701586017681e+01
8.000000000000007105e-01 4.912838306367052610e+01
1.200000000000001066e+00 4.809959094441713034e+01
1.600000000000001421e+00 4.626807340871661722e+01
2.000000000000000000e+00 4.331509729276763920e+01
2.400000000000000355e+00 3.919383206292250321e+01
2.800000000000000711e+00 3.431581108144852976e+01
3.200000000000001066e+00 2.891433334866998806e+01
3.600000000000001421e+00 2.318733835230934304e+01
4.000000000000000000e+00 1.770138152526768494e+01
4.400000000000000355e+00 1.302427730542634876e+01
4.800000000000000711e+00 9.350939301493561118e+00
5.200000000000001066e+00 6.546592444597800764e+00
5.600000000000001421e+00 4.041226922990028392e+00
6.000000000000000000e+00 1.738904515841954268e+00
6.400000000000000355e+00 4.220375621650005460e-01
6.800000000000000711e+00 4.826264555171227294e-02
7.200000000000001066e+00 2.166596521051047160e-03
7.600000000000001421e+00 3.398163067556388215e-05
8.000000000000000000e+00 1.281740307096595257e-07
