# #rapidity dN/dY
-8.000000000000000000e+00 1.983528139470783039e-11
-7.599999999999999645e+00 5.285660150068855684e-08
-7.200000000000000178e+00 2.144470931597649926e-05
-6.799999999999999822e+00 1.477640010529021782e-03
-6.400000000000000355e+00 3.377307059592075944e-02
-6.000000000000000000e+00 2.592478532399736801e-01
-5.599999999999999645e+00 8.453358468854277330e-01
-5.199999999999999289e+00 1.495266657765298879e+00
-4.799999999999999822e+00 2.189120602558304096e+00
-4.400000000000000355e+00 3.071555817719224812e+00
-4.000000000000000000e+00 4.195996500024721243e+00
-3.599999999999999645e+00 5.531159262974048474e+00
-3.199999999999999289e+00 6.912774407660678300e+00
-2.799999999999999822e+00 8.191138108626272896e+00
-2.399999999999999467e+00 9.348334716741369732e+00
-2.000000000000000000e+00 1.034257147373994634e+01
-1.599999999999999645e+00 1.103308753060844438e+01
-1.199999999999999289e+00 1.144278964982320090e+01
-7.999999999999998224e-01 1.167628037184180378e+01
-3.999999999999994671e-01 1.177299863143936420e+01
0.000000000000000000e+00 1.179569560074063261e+01
4.000000000000003553e-01 1.177292806918935142e+01
8.000000000000007105e-01 1.167635490056198755e+01
1.200000000000001066e+00 1.144284926018539927e+01
1.600000000000001421e+00 1.103301811471217420e+01
2.000000000000000000e+00 1.034241422807774846e+01
2.400000000000000355e+00 9.348122994916776562e+00
2.800000000000000711e+00 8.191385470505164079e+00
3.200000000000001066e+00 6.913405957663957935e+00
3.600000000000001421e+00 5.531296845105536875e+00
4.000000000000000000e+00 4.196036342052759771e+00
4.400000000000000355e+00 3.071350340403635748e+00
4.800000000000000711e+00 2.189033800791985396e+00
5.200000000000001066e+00 1.495056855736203838e+00
5.600000000000001421e+00 8.353088755287553235e-01
6.000000000000000000e+00 2.590320318830279245e-01
6.400000000000000355e+00 3.267069043592319560e-02
6.800000000000000711e+00 1.460785616430282071e-03
7.200000000000001066e+00 2.140409327295360062e-05
7.600000000000001421e+00 5.763630129778811160e-08
8.000000000000000000e+00 2.089685677340321753e-11
